"FacName","FacStreet","FacCity","FacState","RegistryID","lat","lon","FacSNCFlg","FacQtrsWithNC","FacInspectionCount","Over80CountUs","FacFormalActionCount","FacMapFlg","DFR URL","id","RAW_D_MINOR","RAW_D_INCOME","RAW_D_LESSHS","RAW_D_LING","RAW_D_UNDER5","RAW_D_OVER64","RAW_D_UNEMPLOYED","RAW_D_INDEX","RAW_E_LEAD","RAW_E_DIESEL","RAW_E_CANCER","RAW_E_RESP","RAW_E_TRAFFIC","RAW_E_NPDES","RAW_E_NPL","RAW_E_RMP","RAW_E_TSDF","RAW_E_O3","RAW_E_PM25","RAW_E_UST","S_D_MINOR","S_D_INCOME","S_D_LESSHS","S_D_LING","S_D_UNDER5","S_D_OVER64","S_D_UNEMPLOYED","S_D_INDEX","S_E_LEAD","S_E_DIESEL","S_E_CANCER","S_E_RESP","S_E_TRAFFIC","S_E_NPDES","S_E_NPL","S_E_RMP","S_E_TSDF","S_E_O3","S_E_PM25","S_E_UST","S_D_MINOR_PER","S_D_INCOME_PER","S_D_LESSHS_PER","S_D_LING_PER","S_D_UNDER5_PER","S_D_OVER64_PER","S_D_UNEMPLOYED_PER","S_D_INDEX_PER","S_E_LEAD_PER","S_E_DIESEL_PER","S_E_CANCER_PER","S_E_RESP_PER","S_E_TRAFFIC_PER","S_E_NPDES_PER","S_E_NPL_PER","S_E_RMP_PER","S_E_TSDF_PER","S_E_O3_PER","S_E_PM25_PER","S_E_UST_PER","S_P_LEAD","S_P_DIESEL","S_P_CANCER","S_P_RESP","S_P_TRAFFIC","S_P_NPDES","S_P_NPL","S_P_RMP","S_P_TSDF","S_P_O3","S_P_PM25","S_P_UST","R_D_MINOR","R_D_INCOME","R_D_LESSHS","R_D_LING","R_D_UNDER5","R_D_OVER64","R_D_UNEMPLOYED","R_D_INDEX","R_E_LEAD","R_E_DIESEL","R_E_CANCER","R_E_RESP","R_E_TRAFFIC","R_E_NPDES","R_E_NPL","R_E_RMP","R_E_TSDF","R_E_O3","R_E_PM25","R_E_UST","R_D_MINOR_PER","R_D_INCOME_PER","R_D_LESSHS_PER","R_D_LING_PER","R_D_UNDER5_PER","R_D_OVER64_PER","R_D_UNEMPLOYED_PER","R_D_INDEX_PER","R_E_LEAD_PER","R_E_DIESEL_PER","R_E_CANCER_PER","R_E_RESP_PER","R_E_TRAFFIC_PER","R_E_NPDES_PER","R_E_NPL_PER","R_E_RMP_PER","R_E_TSDF_PER","R_E_O3_PER","R_E_PM25_PER","R_E_UST_PER","R_P_LEAD","R_P_DIESEL","R_P_CANCER","R_P_RESP","R_P_TRAFFIC","R_P_NPDES","R_P_NPL","R_P_RMP","R_P_TSDF","R_P_O3","R_P_PM25","R_P_UST","N_D_MINOR","N_D_INCOME","N_D_LESSHS","N_D_LING","N_D_UNDER5","N_D_OVER64","N_D_UNEMPLOYED","N_D_INDEX","N_E_LEAD","N_E_DIESEL","N_E_CANCER","N_E_RESP","N_E_TRAFFIC","N_E_NPDES","N_E_NPL","N_E_RMP","N_E_TSDF","N_E_O3","N_E_PM25","N_E_UST","N_D_MINOR_PER","N_D_INCOME_PER","N_D_LESSHS_PER","N_D_LING_PER","N_D_UNDER5_PER","N_D_OVER64_PER","N_D_UNEMPLOYED_PER","N_D_INDEX_PER","N_E_LEAD_PER","N_E_DIESEL_PER","N_E_CANCER_PER","N_E_RESP_PER","N_E_TRAFFIC_PER","N_E_NPDES_PER","N_E_NPL_PER","N_E_RMP_PER","N_E_TSDF_PER","N_E_O3_PER","N_E_PM25_PER","N_E_UST_PER","N_P_LEAD","N_P_DIESEL","N_P_CANCER","N_P_RESP","N_P_TRAFFIC","N_P_NPDES","N_P_NPL","N_P_RMP","N_P_TSDF","N_P_O3","N_P_PM25","N_P_UST","stateAbbr","stateName","epaRegion","totalPop","NUM_NPL","NUM_TSDF","statLayerCount","statLayerZeroPopCount","weightLayerCount","timeSeconds","distance","unit","statlevel","inputAreaMiles","lon","lat","pdfurl"
"INTERPLASTIC CORP","3535 LATONIA AVE","COVINGTON","KY",110001376635,39.045,-84.512,"Y",11,25,0,3,"Y","https://echo.epa.gov/detailed-facility-report?fid=110001376635",106,20,38,13,1,7,13,6,29,0.6,0.5,30,0.4,1200,0.0052,0.048,1.3,1.1,44.7,9.98,2,15,37,14,1,6,16,6,26,0.23,0.226,29,0.36,380,1.3,0.039,0.67,0.77,42.4,8.9,1.1,74,54,54,77,64,34,65,65,90,96,99,96,93,67,76,85,79,89,96,79,35,30,57,56,15,87,43,20,32,58,56,27,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,33,59,59,57,67,39,65,43,95,91,82,78,92,76,57,87,82,96,99,62,15,24,42,42,9,76,36,14,23,41,40,27,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,36,66,64,50,65,43,67,48,83,87,83,81,86,64,40,82,57,72,83,59,30,26,43,42,14,72,43,16,34,46,44,29,"KY","KENTUCKY",4,50104,0,2,57,0,1245,0.5948674,2.5,9035,"blockgroup",19.63,-84.512,39.045,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-84.512,""y"":39.045}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"INZI CONTROLS ALABAMA, INC.","375 HIGHWAY 203","ELBA","AL",110018879025,31.412222,-86.088611,"Y",11,1,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110018879025",107,37,49,26,1,7,19,8,42,0.23,0.0738,30,0.5,17,0.012,0.015,0.054,0.046,34.8,8.22,1.1,34,37,14,1,6,17,6,36,0.18,0.216,34,0.47,230,0.42,0.054,0.41,0.83,39.1,8.9,1.7,64,72,88,76,60,68,73,69,74,2,55,91,20,78,16,8,7,4,10,62,82,65,68,69,67,87,66,64,64,68,68,82,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,55,75,89,56,62,68,76,65,78,1,82,96,16,82,22,6,7,29,53,50,82,59,63,65,61,90,60,58,58,63,63,74,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,55,79,87,49,60,71,78,66,56,6,83,95,11,70,11,5,6,11,39,47,77,61,66,68,61,84,61,60,60,65,66,75,"AL","ALABAMA",4,3999,0,0,7,0,182,0.2699892,2.5,9035,"blockgroup",19.63,-86.088611,31.412222,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-86.088611,""y"":31.412222}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"ISO POLY FILMS","3807 SE HIDDEN WAY","VANCOUVER","WA",110022521902,45.61396,-122.630463,"Y",12,25,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110022521902",108,33,38,11,5,6,16,5,35,0.28,0.489,35,0.5,1200,0.00048,0.19,1,4,35.4,8.19,5.5,31,26,9,4,6,15,5,29,0.22,0.336,35,0.52,710,0.021,0.19,0.65,2.2,35.3,7.86,6.1,60,77,73,75,57,60,56,72,71,76,69,72,85,79,75,79,83,62,80,70,58,75,74,74,79,14,81,85,78,74,74,83,28,28,9,3,6,16,5,28,0.22,0.312,33,0.47,600,0.53,0.13,0.66,1.7,37.2,8.17,4.5,67,72,72,79,58,58,55,73,71,78,75,76,87,64,83,78,88,46,58,76,60,77,76,75,81,28,85,86,81,75,75,85,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,50,66,59,72,58,57,54,57,62,86,90,95,85,43,85,76,84,13,38,79,47,61,60,60,67,35,71,72,65,60,60,75,"WA","WASHINGTON",10,44112,0,5,44,0,880,0.39999,2.5,9035,"blockgroup",19.63,-122.630463,45.61396,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-122.630463,""y"":45.61396}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"J JOSEPHSON INC","35 EMPIRE BOULEVARD","SOUTH HACKENSACK","NJ",110000320377,40.829422,-74.043228,"Y",12,24,0,2,"Y","https://echo.epa.gov/detailed-facility-report?fid=110000320377",109,65,26,13,13,6,14,5,45,0.5,1.11,37,0.51,1900,0.1,0.7,2.2,5.1,42.1,9.3,28,45,23,10,7,6,16,6,34,0.4,0.511,29,0.38,860,0.22,0.44,0.76,3.3,42.1,8.32,15,70,65,72,80,56,50,54,71,59,92,97,97,88,89,80,90,75,51,96,81,74,81,75,75,85,85,75,84,78,72,73,82,49,32,13,14,6,16,6,41,0.46,0.558,29,0.37,840,2.3,0.28,0.62,4.9,41.8,8.03,9.3,62,50,59,70,57,45,52,60,51,81,93,84,88,84,89,94,69,54,99,90,66,77,65,65,81,83,77,81,72,68,69,86,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,75,47,64,86,51,49,57,69,77,98,94,95,91,85,97,91,88,49,69,98,81,87,73,74,87,89,89,83,85,70,71,95,"NJ","NEW JERSEY",2,72518,3,7,78,1,1004,0.7878404,2.5,9035,"blockgroup",19.63,-74.043228,40.829422,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-74.043228,""y"":40.829422}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"JANICKI INDUSTRIES","1476 MOORE ST","SEDRO WOOLLEY","WA",110054932187,48.515249,-122.213824,"Y",12,18,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110054932187",110,21,27,7,2,8,15,5,24,0.31,0.144,30,0.4,250,NA,0.028,0.19,1.5,31.4,6.17,6.2,31,26,9,4,6,15,5,29,0.22,0.336,35,0.52,710,0.021,0.19,0.65,2.2,35.3,7.86,6.1,38,59,53,58,74,59,60,46,72,20,47,31,49,NA,16,43,61,16,5,72,19,48,37,38,26,NA,54,34,19,35,39,21,28,28,9,3,6,16,5,28,0.22,0.312,33,0.47,600,0.53,0.13,0.66,1.7,37.2,8.17,4.5,45,52,51,64,75,57,59,46,73,27,58,42,53,NA,30,44,69,11,5,78,19,44,35,37,26,NA,47,37,17,38,42,20,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,37,48,40,59,75,55,58,38,64,24,83,81,52,NA,25,36,64,4,5,82,21,33,23,21,21,NA,37,32,14,35,35,13,"WA","WASHINGTON",10,15386,0,2,12,0,380,0.2849428,2.5,9035,"blockgroup",19.63,-122.213824,48.515249,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-122.213824,""y"":48.515249}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"JASON INTERNATIONAL, INC.","8328 MACARTHUR DRIVE","NORTH LITTLE ROCK","AR",110001702453,34.822018,-92.320913,"Y",7,18,0,2,"Y","https://echo.epa.gov/detailed-facility-report?fid=110001702453",111,38,38,11,1,7,16,5,38,0.22,0.289,40,0.5,330,0.0018,0.054,0.49,0.25,41.9,9.86,2,28,40,13,2,6,17,5,34,0.15,0.179,35,0.48,180,0.47,0.037,0.64,0.55,41.3,9.27,1,73,48,46,70,65,51,61,67,78,85,98,93,83,67,89,65,56,62,92,82,75,83,78,77,82,87,87,81,79,77,78,84,52,36,15,6,7,13,5,44,0.16,0.219,32,0.37,470,0.5,0.08,0.83,0.8,41.1,9.32,2,38,56,47,38,58,67,57,46,75,76,94,97,65,55,61,54,47,59,68,64,63,63,59,59,60,73,61,63,60,55,56,63,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,56,66,59,47,67,57,57,61,56,60,97,95,58,55,45,59,34,47,81,58,70,72,72,72,70,81,69,74,67,69,70,73,"AR","ARKANSAS",6,5973,0,0,11,1,425,0.3239445,2.5,9035,"blockgroup",19.63,-92.320913,34.822018,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-92.320913,""y"":34.822018}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"JAY PLASTICS INC","150 E LONGVIEW AVE","MANSFIELD","OH",110016760058,40.77715,-82.50918,"Y",4,40,4,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110016760058",112,32,54,19,1,6,13,10,41,0.66,0.227,20,0.25,330,0.024,0.017,0.31,1.2,43.5,8.63,3.6,21,31,10,1,6,17,5,26,0.4,0.273,24,0.3,370,0.33,0.095,0.72,1.5,44.5,9.13,2.6,78,84,87,69,56,34,83,80,78,39,63,54,71,75,10,50,62,28,15,76,84,81,82,83,86,93,79,80,84,83,82,88,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,72,86,87,61,56,38,85,78,79,45,60,54,58,72,6,45,56,34,32,66,83,79,79,80,81,90,76,78,81,80,80,83,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,50,84,78,46,55,43,84,65,86,46,32,31,59,75,13,49,59,62,51,71,79,66,64,65,72,87,62,66,73,67,67,77,"OH","OHIO",5,34122,0,3,33,0,1511,0.5179169,2.5,9035,"blockgroup",19.63,-82.50918,40.77715,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-82.50918,""y"":40.77715}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"JM EAGLE","1820 S 1ST ST","SUNNYSIDE","WA",110015566591,46.30811,-120.02018,"Y",12,3,3,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110015566591",113,84,60,46,14,11,9,8,72,0.37,0.127,30,0.6,93,NA,0.022,0.12,0.044,42.1,9.3,10,31,26,9,4,6,15,5,29,0.22,0.336,35,0.52,710,0.021,0.19,0.65,2.2,35.3,7.86,6.1,97,94,98,92,88,22,80,98,77,16,49,88,30,NA,10,26,4,85,85,82,98,92,97,98,86,NA,85,87,78,98,98,98,28,28,9,3,6,16,5,28,0.22,0.312,33,0.47,600,0.53,0.13,0.66,1.7,37.2,8.17,4.5,98,94,99,94,89,20,79,98,79,24,59,91,32,NA,24,27,11,74,84,87,99,93,98,98,87,NA,89,88,82,99,99,98,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,85,89,97,88,88,21,77,91,69,20,84,98,32,NA,19,20,6,49,69,89,95,81,94,98,76,NA,78,75,65,95,94,97,"WA","WASHINGTON",10,19952,0,0,15,0,415,0.3049626,2.5,9035,"blockgroup",19.63,-120.02018,46.30811,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-120.02018,""y"":46.30811}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"JOHNSONITE","16910 MUNN RD","CHAGRIN FALLS","OH",110000385244,41.40935,-81.2744,"Y",10,3,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110000385244",114,4,9,5,1,4,25,3,6,0.15,0.176,20,0.28,38,4.2e-05,0.026,0.12,0.22,44.5,8.77,0.25,21,31,10,1,6,17,5,26,0.4,0.273,24,0.3,370,0.33,0.095,0.72,1.5,44.5,9.13,2.6,24,12,34,71,32,86,43,6,26,21,63,77,23,17,27,16,30,45,24,30,37,23,15,12,37,56,35,37,38,11,13,45,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,18,12,36,62,30,87,43,5,30,30,60,71,17,23,16,16,28,54,38,29,32,20,15,11,43,49,38,37,39,11,11,45,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,9,12,31,47,30,87,38,2,47,32,32,42,19,26,23,20,32,71,54,29,17,15,14,11,31,37,28,25,27,7,7,33,"OH","OHIO",5,5176,0,0,7,0,82,0.2629598,2.5,9035,"blockgroup",19.63,-81.2744,41.40935,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-81.2744,""y"":41.40935}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"JUSTIN TANKS, LLC","21413 CEDAR CREEK AVENUE","GEORGETOWN","DE",110041997907,38.69384,-75.35199,"Y",10,40,6,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110041997907",115,51,46,28,17,10,16,4,48,0.28,0.138,20,0.25,470,0.59,0.078,0.76,0.63,42.1,6.99,3.7,38,26,10,2,6,18,5,32,0.23,0.246,26,0.29,570,1.4,0.31,0.55,1.7,42.8,7.79,1.9,73,85,97,97,88,48,43,81,69,22,47,53,62,90,26,75,42,11,22,84,87,79,81,86,86,97,72,94,78,87,85,93,33,27,10,3,6,16,5,30,0.35,0.267,30,0.34,680,33,0.15,0.63,1.9,41.9,8.2,2.7,73,84,95,96,88,51,50,80,51,18,20,30,64,91,48,74,50,51,12,77,86,79,82,85,87,97,81,92,81,87,85,90,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,66,76,89,91,86,58,48,71,61,23,32,31,67,91,57,69,48,49,12,71,83,72,74,77,84,96,78,87,76,80,76,84,"DE","DELAWARE",3,8536,0,2,7,0,286,0.2769689,2.5,9035,"blockgroup",19.63,-75.35199,38.69384,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-75.35199,""y"":38.69384}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"KARDOES RUBBER CO INC","1061 INDUSTRIAL BOULEVARD","LAFAYETTE","AL",110000369743,32.877636,-85.398383,"Y",9,1,1,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110000369743",116,61,46,20,0,7,16,4,54,0.31,0.0954,40,0.5,43,0.0087,0.01,0.051,0.054,36.5,8.91,0.71,34,37,14,1,6,17,6,36,0.18,0.216,34,0.47,230,0.42,0.054,0.41,0.83,39.1,8.9,1.7,80,67,75,70,61,50,47,79,83,11,99,91,35,76,3,7,10,16,50,54,84,70,77,76,72,82,67,66,66,75,76,77,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,75,70,79,51,62,54,47,77,85,8,98,96,28,80,7,5,10,39,78,42,84,63,72,71,64,84,61,59,61,68,70,69,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,72,76,80,45,60,57,49,77,64,11,97,95,20,68,4,4,8,16,58,40,79,64,74,74,63,79,62,61,61,70,71,71,"AL","ALABAMA",4,2903,0,0,4,0,165,0.2549681,2.5,9035,"blockgroup",19.63,-85.398383,32.877636,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-85.398383,""y"":32.877636}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"KILLIAN LATEX INC","2064 KILLIAN RD","AKRON","OH",110009821336,40.99657,-81.44923,"Y",8,3,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110009821336",117,6,23,8,0,5,19,6,14,0.34,0.246,20,0.3,280,0.15,0.25,0.52,0.97,43.8,9.19,2.2,21,31,10,1,6,17,5,26,0.4,0.273,24,0.3,370,0.33,0.095,0.72,1.5,44.5,9.13,2.6,33,41,53,69,46,64,64,33,50,46,63,89,66,90,93,61,57,33,54,64,17,19,22,17,11,7,2,20,21,19,18,12,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,26,44,55,60,45,67,66,30,53,50,60,79,53,85,90,56,51,38,56,57,13,17,21,15,18,9,3,22,23,16,16,16,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,13,40,46,45,44,70,62,17,66,51,32,47,55,86,89,60,55,65,66,60,8,12,19,15,13,7,2,14,16,12,10,10,"OH","OHIO",5,19474,0,3,20,0,388,0.4080079,2.5,9035,"blockgroup",19.63,-81.44923,40.99657,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-81.44923,""y"":40.99657}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"KOMMERLING USA INCORPORATED","3402 STANWOOD BOULEVARD NORTHEAST","HUNTSVILLE","AL",110002105374,34.78177,-86.52983,"Y",10,2,7,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110002105374",118,40,26,8,0,5,16,6,35,0.12,0.202,30,0.4,110,0.19,0.051,0.32,2.9,42.4,8.4,1.6,34,37,14,1,6,17,6,36,0.18,0.216,34,0.47,230,0.42,0.054,0.41,0.83,39.1,8.9,1.7,66,32,34,70,44,48,61,59,54,58,55,38,57,93,69,69,94,87,17,70,83,74,62,62,78,98,72,30,84,63,63,81,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,58,36,40,51,44,53,62,55,62,43,82,78,46,93,60,57,96,80,61,58,83,66,57,57,70,98,65,34,84,58,58,73,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,57,46,47,45,42,56,64,57,43,39,83,81,35,87,43,50,78,51,44,55,78,67,60,60,68,95,65,38,75,61,61,74,"AL","ALABAMA",4,11916,0,8,14,0,608,0.3439845,2.5,9035,"blockgroup",19.63,-86.52983,34.78177,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-86.52983,""y"":34.78177}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"KONA BICYCLE COMPANY","2445 SALASLAN LOOP, BLDG 3","FERNDALE","WA",110005383245,48.892429,-122.613473,"Y",12,9,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110005383245",119,21,24,9,2,7,15,5,23,0.16,0.2,30,0.39,140,NA,0.073,0.6,0.22,32,6.91,0.41,31,26,9,4,6,15,5,29,0.22,0.336,35,0.52,710,0.021,0.19,0.65,2.2,35.3,7.86,6.1,39,54,66,55,63,59,55,43,56,31,47,28,38,NA,40,68,27,29,17,35,22,34,28,31,37,NA,31,11,43,24,25,41,28,28,9,3,6,16,5,28,0.22,0.312,33,0.47,600,0.53,0.13,0.66,1.7,37.2,8.17,4.5,46,47,64,61,64,57,53,43,56,38,58,39,41,NA,54,67,37,18,17,39,22,32,27,30,37,NA,24,14,39,29,29,40,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,38,43,51,57,64,55,53,36,49,39,83,76,40,NA,55,63,32,5,11,34,23,23,17,16,29,NA,19,11,32,29,26,32,"WA","WASHINGTON",10,10512,0,0,10,0,201,0.2639592,2.5,9035,"blockgroup",19.63,-122.613473,48.892429,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-122.613473,""y"":48.892429}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"LACKS INDUSTRIES, INC.","4375 52ND STREET SE","KENTWOOD","MI",110017435104,42.86901,-85.55742,"Y",7,47,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110017435104",120,42,27,7,3,8,11,2,35,0.023,0.203,21,0.3,310,5.1e-06,0.66,1,5.2,43.5,8.89,1.2,25,32,9,2,6,17,6,28,0.37,0.209,23,0.25,830,0.41,0.15,0.53,1.1,43.8,8.75,7.3,80,49,51,83,80,27,24,72,5,51,72,97,43,12,95,83,98,25,53,40,74,70,71,70,64,59,93,34,26,70,70,52,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,78,53,51,78,77,31,30,72,7,38,62,77,56,13,96,72,92,33,44,46,74,72,71,71,64,60,91,46,33,71,71,48,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,59,49,43,64,75,36,26,56,20,40,35,46,57,15,96,76,88,62,58,48,63,55,56,55,50,47,82,32,23,55,55,36,"MI","MICHIGAN",5,14981,1,14,13,0,198,0.2898917,2.5,9035,"blockgroup",19.63,-85.55742,42.86901,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-85.55742,""y"":42.86901}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"LACKS TRIM SYSTEMS-AIRLANE","4260 AIRLANE SE","KENTWOOD","MI",110066942517,42.8858,-85.5746,"Y",2,36,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110066942517",121,45,35,10,7,8,14,4,40,0.067,0.212,24,0.3,480,1.3e-06,0.53,0.67,4.4,43.5,8.91,6.4,25,32,9,2,6,17,6,28,0.37,0.209,23,0.25,830,0.41,0.15,0.53,1.1,43.8,8.75,7.3,81,62,64,91,81,42,41,77,14,54,80,99,53,7,94,75,96,25,54,66,76,79,80,81,77,66,96,78,87,80,80,83,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,80,66,63,88,79,46,48,77,17,41,73,79,67,8,95,62,89,33,45,77,76,78,80,79,80,66,95,76,84,80,79,86,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,61,62,53,76,77,51,43,63,32,42,50,47,67,9,95,66,86,62,58,82,67,65,64,64,71,53,89,63,78,66,66,80,"MI","MICHIGAN",5,33548,1,13,28,0,409,0.4191452,2.5,9035,"blockgroup",19.63,-85.5746,42.8858,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-85.5746,""y"":42.8858}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"LEAR CORP","12340 ELM RD","BOURBON","IN",110000398463,41.298513,-86.135182,"Y",12,24,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110000398463",122,7,35,12,1,9,13,3,21,0.49,0.181,20,0.2,20,0.00049,0.042,0.29,0.11,43.4,8.6,1.7,21,32,11,2,6,15,5,26,0.34,0.28,23,0.3,540,0.34,0.17,0.82,1.6,44.1,9.2,2.8,33,61,65,66,81,40,47,50,73,22,67,16,12,37,28,42,13,7,8,59,26,56,56,60,61,44,56,49,66,54,54,29,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,29,66,73,61,83,37,46,50,67,32,60,26,12,39,35,44,17,31,30,53,27,50,54,58,60,44,50,44,61,50,50,31,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,14,61,62,46,81,42,41,32,76,34,32,14,12,43,36,48,18,61,49,56,15,37,42,46,46,32,37,30,46,37,37,21,"IN","INDIANA",5,2323,0,0,4,0,142,0.2459758,2.5,9035,"blockgroup",19.63,-86.135182,41.298513,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-86.135182,""y"":41.298513}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
