"id","EJScreenPDF","EJScreenMAP","siteid","sitename","lon","lat","pctmin","pctlowinc","pctlths","pctlingiso","pctunder5","pctover64","pctunemployed","VSI.eo","pctpre1960","dpm","cancer","resp","traffic.score","proximity.npdes","proximity.npl","proximity.rmp","proximity.tsdf","o3","pm","ust","state.avg.pctmin","state.avg.pctlowinc","state.avg.pctlths","state.avg.pctlingiso","state.avg.pctunder5","state.avg.pctover64","state.avg.unemployed","state.avg.VSI.eo","state.avg.pctpre1960","state.avg.dpm","state.avg.cancer","state.avg.resp","state.avg.traffic.score","state.avg.proximity.npdes","state.avg.proximity.npl","state.avg.proximity.rmp","state.avg.proximity.tsdf","state.avg.o3","state.avg.pm","state.avg.ust","state.pctile.pctmin","state.pctile.pctlowinc","state.pctile.pctlths","state.pctile.pctlingiso","state.pctile.pctunder5","state.pctile.pctover64","state.pctile.unemployed","state.pctile.VSI.eo","state.pctile.pctpre1960","state.pctile.dpm","state.pctile.cancer","state.pctile.resp","state.pctile.traffic.score","state.pctile.proximity.npdes","state.pctile.proximity.npl","state.pctile.proximity.rmp","state.pctile.proximity.tsdf","state.pctile.o3","state.pctile.pm","state.pctile.ust","state.pctile.EJ.DISPARITY.pctpre1960.eo","state.pctile.EJ.DISPARITY.dpm.eo","state.pctile.EJ.DISPARITY.cancer.eo","state.pctile.EJ.DISPARITY.resp.eo","state.pctile.EJ.DISPARITY.traffic.score.eo","state.pctile.EJ.DISPARITY.proximity.npdes.eo","state.pctile.EJ.DISPARITY.proximity.npl.eo","state.pctile.EJ.DISPARITY.proximity.rmp.eo","state.pctile.EJ.DISPARITY.proximity.tsdf.eo","state.pctile.EJ.DISPARITY.o3.eo","state.pctile.EJ.DISPARITY.pm.eo","state.pctile.ust","region.avg.pctmin","region.avg.pctlowinc","region.avg.pctlths","region.avg.pctlingiso","region.avg.pctunder5","region.avg.pctover64","region.avg.unemployed","region.avg.VSI.eo","region.avg.pctpre1960","region.avg.dpm","region.avg.cancer","region.avg.resp","region.avg.traffic.score","region.avg.proximity.npdes","region.avg.proximity.npl","region.avg.proximity.rmp","region.avg.proximity.tsdf","region.avg.o3","region.avg.pm","region.avg.ust","region.pctile.pctmin","region.pctile.pctlowinc","region.pctile.pctlths","region.pctile.pctlingiso","region.pctile.pctunder5","region.pctile.pctover64","region.pctile.unemployed","region.pctile.VSI.eo","region.pctile.pctpre1960","region.pctile.dpm","region.pctile.cancer","region.pctile.resp","region.pctile.traffic.score","region.pctile.proximity.npdes","region.pctile.proximity.npl","region.pctile.proximity.rmp","region.pctile.proximity.tsdf","region.pctile.o3","region.pctile.pm","region.pctile.ust","region.pctile.EJ.DISPARITY.pctpre1960.eo","region.pctile.EJ.DISPARITY.dpm.eo","region.pctile.EJ.DISPARITY.cancer.eo","region.pctile.EJ.DISPARITY.resp.eo","region.pctile.EJ.DISPARITY.traffic.score.eo","region.pctile.EJ.DISPARITY.proximity.npdes.eo","region.pctile.EJ.DISPARITY.proximity.npl.eo","region.pctile.EJ.DISPARITY.proximity.rmp.eo","region.pctile.EJ.DISPARITY.proximity.tsdf.eo","region.pctile.EJ.DISPARITY.o3.eo","region.pctile.EJ.DISPARITY.pm.eo","region.pctile.ust","us.avg.pctmin","us.avg.pctlowinc","us.avg.pctlths","us.avg.pctlingiso","us.avg.pctunder5","us.avg.pctover64","us.avg.unemployed","us.avg.VSI.eo","us.avg.pctpre1960","us.avg.dpm","us.avg.cancer","us.avg.resp","us.avg.traffic.score","us.avg.proximity.npdes","us.avg.proximity.npl","us.avg.proximity.rmp","us.avg.proximity.tsdf","us.avg.o3","us.avg.pm","us.avg.ust","pctile.pctmin","pctile.pctlowinc","pctile.pctlths","pctile.pctlingiso","pctile.pctunder5","pctile.pctover64","pctile.pctunemployed","pctile.VSI.eo","pctile.pctpre1960","pctile.dpm","pctile.cancer","pctile.resp","pctile.traffic.score","pctile.proximity.npdes","pctile.proximity.npl","pctile.proximity.rmp","pctile.proximity.tsdf","pctile.o3","pctile.pm","pctile.ust","pctile.EJ.DISPARITY.pctpre1960.eo","pctile.EJ.DISPARITY.dpm.eo","pctile.EJ.DISPARITY.cancer.eo","pctile.EJ.DISPARITY.resp.eo","pctile.EJ.DISPARITY.traffic.score.eo","pctile.EJ.DISPARITY.proximity.npdes.eo","pctile.EJ.DISPARITY.proximity.npl.eo","pctile.EJ.DISPARITY.proximity.rmp.eo","pctile.EJ.DISPARITY.proximity.tsdf.eo","pctile.EJ.DISPARITY.o3.eo","pctile.EJ.DISPARITY.pm.eo","pctile.ust","ST","statename","REGION","pop","NUM_NPL","NUM_TSDF","statLayerCount","statLayerZeroPopCount","weightLayerCount","timeSeconds","radius.miles","unit","statlevel","inputAreaMiles","lon.1","lat.1"
26,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-82.4586232,%22y%22:36.2838255%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 26</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=36.2838255,-82.4586232"", target=""_blank"">EJScreen Map 26</a>",26,"site 26",-82.4586232,36.2838255,5,17,8,0,3,22,1,11,0.28,0.118,20,0.3,68,0.0038,0.014,0.12,0.057,42.5,6.97,0.79,26,35,13,2,6,16,5,31,0.19,0.231,32,0.4,290,0.035,0.07,0.53,0.6,42.6,8.2,1.3,22,20,36,67,20,79,17,10,78,20,3,25,41,80,15,34,13,43,2,59,1,22,19,14,20,9,28,23,37,8,11,9,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,9,20,39,51,23,77,15,6,83,17,13,27,36,74,18,26,11,81,7,44,0,18,13,10,18,9,25,20,30,5,8,13,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,11,29,46,45,21,79,16,10,61,17,32,47,27,61,9,20,8,52,12,42,3,18,10,6,24,15,34,23,39,5,7,14,"TN","TENNESSEE",4,2158,0,0,1,0,38,0.2669538,1,9035,"blockgroup",3.14,-82.4586232,36.2838255
27,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-80.284557,%22y%22:40.7566579%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 27</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=40.7566579,-80.284557"", target=""_blank"">EJScreen Map 27</a>",27,"site 27",-80.284557,40.7566579,2,9,6,0,3,15,5,5,0.52,0.173,20,0.3,85,0.041,0.034,0.24,0.91,44.8,9.23,0.18,24,28,9,2,6,18,5,26,0.47,0.269,31,0.32,580,66,0.19,0.81,1.4,42.1,8.72,3.4,11,14,41,58,27,40,57,3,57,24,30,67,26,78,12,37,58,92,76,26,1,22,23,11,37,10,42,26,11,8,9,47,33,27,10,3,6,16,5,30,0.35,0.267,30,0.34,680,33,0.15,0.63,1.9,41.9,8.2,2.7,7,18,40,55,26,48,57,2,72,27,20,52,28,83,16,49,57,89,90,28,1,16,18,9,30,8,32,17,10,5,5,37,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,3,12,36,45,24,55,55,1,78,32,32,47,30,79,30,44,54,73,67,26,0,13,13,9,23,7,22,15,10,6,5,32,"PA","PENNSYLVANIA",3,1237,0,0,1,0,14,0.2589985,1,9035,"blockgroup",3.14,-80.284557,40.7566579
28,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-83.5631947,%22y%22:35.9069191%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 28</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=35.9069191,-83.5631947"", target=""_blank"">EJScreen Map 28</a>",28,"site 28",-83.5631947,35.9069191,4,30,7,0,5,21,3,17,0.096,0.189,30,0.4,120,0.021,0.03,0.042,0.22,43.7,8.26,1,26,35,13,2,6,16,5,31,0.19,0.231,32,0.4,290,0.035,0.07,0.53,0.6,42.6,8.2,1.3,17,43,31,67,37,75,38,26,43,44,80,76,56,89,59,5,54,79,52,63,27,28,28,26,21,7,26,55,25,26,27,13,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,7,44,33,51,39,74,34,17,56,39,82,78,48,85,44,3,52,91,55,49,13,22,19,18,19,6,23,44,20,17,19,17,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,8,53,40,45,37,76,36,23,38,36,83,81,37,74,26,3,32,64,40,46,28,23,16,14,25,11,32,48,32,18,19,19,"TN","TENNESSEE",4,654,0,0,1,0,17,0.2859986,1,9035,"blockgroup",3.14,-83.5631947,35.9069191
29,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-84.0381622,%22y%22:33.8608014%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 29</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=33.8608014,-84.0381622"", target=""_blank"">EJScreen Map 29</a>",29,"site 29",-84.0381622,33.8608014,60,29,8,4,5,11,5,44,0.011,0.343,32,0.4,310,0.00018,0.0087,0.081,0.09,41.9,9.48,5,47,34,13,3,6,14,6,41,0.13,0.294,36,0.46,520,0.079,0.037,0.63,0.42,39.4,8.94,2.1,65,44,37,77,39,39,55,59,23,65,57,47,65,50,7,12,23,72,79,87,59,70,63,63,77,60,58,56,59,67,66,86,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,74,43,38,74,44,27,55,67,20,75,85,78,67,47,3,13,21,74,92,80,64,77,73,73,82,68,62,63,65,75,75,86,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,72,52,45,67,42,31,57,68,14,70,86,81,57,35,3,11,14,46,74,78,64,78,75,76,80,67,63,64,63,76,77,87,"GA","GEORGIA",4,7640,0,0,8,0,69,0.3059668,1,9035,"blockgroup",3.14,-84.0381622,33.8608014
30,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-98.0169073,%22y%22:26.3068057%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 30</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=26.3068057,-98.0169073"", target=""_blank"">EJScreen Map 30</a>",30,"site 30",-98.0169073,26.3068057,100,57,43,31,11,16,5,79,0.086,0.0501,30,0.3,160,NA,0.044,1.9,0.66,29,10.9,0.8,58,34,16,8,7,12,5,46,0.15,0.214,31,0.36,510,0.33,0.084,0.92,0.72,40,9.57,2.2,97,82,91,94,84,75,61,90,61,2,83,44,41,NA,49,87,68,4,97,38,84,60,88,86,75,NA,78,95,88,84,91,72,52,36,15,6,7,13,5,44,0.16,0.219,32,0.37,470,0.5,0.08,0.83,0.8,41.1,9.32,2,98,82,93,95,85,69,59,92,56,2,78,37,45,NA,53,88,65,3,97,43,86,65,91,89,79,NA,83,96,89,87,94,78,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,98,87,96,96,90,60,59,95,37,3,83,47,42,NA,38,89,48,1,91,42,85,73,96,93,83,NA,86,97,84,92,97,81,"TX","TEXAS",6,2175,0,0,3,0,37,0.2809909,1,9035,"blockgroup",3.14,-98.0169073,26.3068057
31,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-78.8648652,%22y%22:42.9182755%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 31</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=42.9182755,-78.8648652"", target=""_blank"">EJScreen Map 31</a>",31,"site 31",-78.8648652,42.9182755,48,38,10,3,5,16,6,43,0.83,0.319,20,0.3,680,6.2e-08,0.048,1.3,6.3,43.8,8.1,4.7,44,30,13,8,6,16,5,37,0.55,0.646,29,0.39,870,3.9,0.23,0.5,6.2,41.6,7.9,8.1,59,69,49,50,43,55,66,62,79,40,42,48,64,NA,15,91,67,92,50,57,63,60,60,60,69,58,58,77,66,62,61,65,49,32,13,14,6,16,6,41,0.46,0.558,29,0.37,840,2.3,0.28,0.62,4.9,41.8,8.03,9.3,53,66,49,45,44,55,62,58,85,43,41,52,66,NA,11,87,74,94,45,56,64,60,56,56,69,51,54,71,69,63,63,67,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,64,66,53,62,38,58,67,67,94,66,32,47,75,NA,40,82,91,65,35,76,80,68,63,64,78,58,65,76,82,66,65,74,"NY","NEW YORK",2,27075,0,0,39,0,277,0.5459924,1,9035,"blockgroup",3.14,-78.8648652,42.9182755
32,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-95.7882861,%22y%22:36.06772%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 32</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=36.06772,-95.7882861"", target=""_blank"">EJScreen Map 32</a>",32,"site 32",-95.7882861,36.06772,29,33,8,2,7,14,4,31,0.19,0.242,32,0.42,120,0.068,0.032,0.84,2.2,45,10.9,2.7,34,37,12,2,7,15,5,36,0.23,0.195,29,0.39,220,0.09,0.05,0.57,0.84,45.9,9.66,1.5,45,45,39,73,53,41,49,44,62,68,90,83,63,91,50,77,89,35,91,80,32,31,39,38,31,5,35,22,13,39,37,12,52,36,15,6,7,13,5,44,0.16,0.219,32,0.37,470,0.5,0.08,0.83,0.8,41.1,9.32,2,27,48,36,48,50,57,50,34,72,61,81,87,39,90,41,68,89,75,97,72,21,27,32,31,27,3,30,18,7,31,30,12,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,46,58,46,56,60,46,50,51,52,50,86,84,37,82,28,71,72,75,91,65,43,41,46,44,41,8,47,25,19,47,43,22,"OK","OKLAHOMA",6,6452,0,2,11,0,129,0.3619679,1,9035,"blockgroup",3.14,-95.7882861,36.06772
33,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-84.1855889,%22y%22:33.9814376%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 33</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=33.9814376,-84.1855889"", target=""_blank"">EJScreen Map 33</a>",33,"site 33",-84.1855889,33.9814376,35,6,2,5,4,20,4,20,0.036,0.525,40,0.5,300,0.0015,0.01,1,0.68,42.3,9.62,2.2,47,34,13,3,6,14,6,41,0.13,0.294,36,0.46,520,0.079,0.037,0.63,0.42,39.4,8.94,2.1,40,4,12,80,27,83,47,19,41,89,95,91,65,75,23,80,82,79,92,68,17,7,15,15,8,9,27,3,3,17,17,3,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,53,3,11,78,31,72,47,25,36,92,98,96,67,66,6,81,74,78,95,63,23,5,12,13,10,18,40,4,7,17,15,7,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,53,6,15,70,30,74,49,31,24,89,97,95,57,53,4,76,49,50,77,60,36,4,9,9,14,25,46,5,17,19,15,8,"GA","GEORGIA",4,3651,0,0,6,0,66,0.3179691,1,9035,"blockgroup",3.14,-84.1855889,33.9814376
34,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-92.640991,%22y%22:30.2370426%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 34</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=30.2370426,-92.640991"", target=""_blank"">EJScreen Map 34</a>",34,"site 34",-92.640991,30.2370426,8,39,17,0,8,20,3,23,0.37,0.249,30,0.3,340,0.0014,0.29,0.17,0.14,34.9,8.85,2.3,41,39,15,2,7,15,6,40,0.2,0.298,41,0.45,560,0.42,0.086,0.91,1.4,37.2,9.22,2,12,54,64,62,69,79,35,29,84,51,46,5,63,45,95,31,23,7,32,72,7,27,34,36,17,27,5,36,38,32,31,20,52,36,15,6,7,13,5,44,0.16,0.219,32,0.37,470,0.5,0.08,0.83,0.8,41.1,9.32,2,4,58,64,37,67,83,38,20,84,64,78,37,66,52,95,27,29,14,19,69,3,19,26,28,12,19,2,29,29,28,26,17,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,16,68,74,45,75,76,39,37,69,51,83,47,59,52,91,31,22,11,57,62,20,31,35,39,21,27,8,41,45,42,37,28,"LA","LOUISIANA",6,2589,0,0,6,0,87,0.2759723,1,9035,"blockgroup",3.14,-92.640991,30.2370426
35,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-73.0960097,%22y%22:41.2301551%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 35</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=41.2301551,-73.0960097"", target=""_blank"">EJScreen Map 35</a>",35,"site 35",-73.0960097,41.2301551,23,7,7,3,3,21,6,15,0.19,0.278,30,0.3,1000,1.2,0.29,0.95,4.9,44.9,7.89,1.7,33,23,9,5,5,17,6,28,0.44,0.201,23,0.28,600,0.047,0.14,0.56,3,42.8,7.39,3.1,50,21,50,58,27,74,58,38,18,84,100,100,85,99,92,80,76,84,79,56,43,0,0,3,1,0,1,1,0,3,3,10,25,23,9,5,5,17,5,24,0.44,0.227,23,0.28,1300,0.4,0.15,0.6,3.8,39.8,6.68,3,62,17,52,64,27,73,67,42,19,75,99,91,74,98,89,79,78,96,95,58,48,2,1,5,6,0,4,2,2,4,4,11,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,39,9,39,63,19,78,63,19,52,58,83,47,83,93,91,74,87,74,30,56,16,5,5,8,1,2,1,2,0,5,7,8,"CT","CONNECTICUT",1,3793,0,2,5,0,56,0.2919959,1,9035,"blockgroup",3.14,-73.0960097,41.2301551
36,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-80.4116034,%22y%22:40.2959515%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 36</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=40.2959515,-80.4116034"", target=""_blank"">EJScreen Map 36</a>",36,"site 36",-80.4116034,40.2959515,2,27,7,0,4,18,7,15,0.46,0.136,30,0.3,0.91,1.2e-08,0.031,0.22,0.089,43.8,8.27,0.035,24,28,9,2,6,18,5,26,0.47,0.269,31,0.32,580,66,0.19,0.81,1.4,42.1,8.72,3.4,15,54,48,58,42,56,72,35,52,15,84,67,2,NA,10,34,8,81,27,18,15,47,28,31,73,79,56,42,62,28,32,60,33,27,10,3,6,16,5,30,0.35,0.267,30,0.34,680,33,0.15,0.63,1.9,41.9,8.2,2.7,10,57,46,55,39,62,72,25,68,18,85,52,2,NA,13,46,12,79,48,20,9,38,23,27,64,68,45,28,51,22,24,51,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,5,48,41,45,36,68,70,18,75,22,83,47,2,NA,28,41,14,65,40,19,4,30,16,22,54,58,32,24,42,19,20,43,"PA","PENNSYLVANIA",3,141,0,0,1,0,9,0.2240017,1,9035,"blockgroup",3.14,-80.4116034,40.2959515
37,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-81.1166074,%22y%22:40.233864%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 37</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=40.233864,-81.1166074"", target=""_blank"">EJScreen Map 37</a>",37,"site 37",-81.1166074,40.233864,0,12,5,0,6,15,0,6,0.35,0.102,20,0.3,8.6,NA,0.03,0.23,0.046,43.5,8.04,0.067,21,31,10,1,6,17,5,26,0.4,0.273,24,0.3,370,0.33,0.095,0.72,1.5,44.5,9.13,2.6,5,19,37,69,59,44,14,5,51,1,63,89,8,NA,35,42,1,27,1,21,46,69,61,56,67,NA,59,57,73,59,61,59,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,2,20,39,59,59,48,12,4,54,8,60,79,7,NA,22,38,4,32,15,21,40,63,58,52,66,NA,59,54,69,55,57,57,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,1,19,33,45,58,52,11,2,67,13,32,47,7,NA,27,41,6,62,34,21,22,47,45,42,51,NA,44,38,53,41,42,43,"OH","OHIO",5,13,0,0,1,0,9,0.2559991,1,9035,"blockgroup",3.14,-81.1166074,40.233864
38,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-80.9176795,%22y%22:35.1517056%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 38</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=35.1517056,-80.9176795"", target=""_blank"">EJScreen Map 38</a>",38,"site 38",-80.9176795,35.1517056,77,22,11,9,7,7,4,49,0.061,0.374,40,0.5,740,0.0035,0.058,1.3,1.8,44.4,8.74,1.8,37,34,12,2,6,16,6,36,0.16,0.182,29,0.37,350,0.25,0.082,0.39,0.83,41.7,7.74,3.4,89,30,54,92,62,14,49,75,38,98,99,98,86,75,62,93,87,82,91,59,78,94,91,91,93,91,87,95,92,87,88,81,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,84,29,54,87,63,13,49,72,46,79,98,96,85,73,63,86,90,95,72,60,78,86,87,86,90,90,84,91,94,86,84,79,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,81,40,59,81,61,16,51,73,31,75,97,95,77,60,47,82,68,70,54,56,74,86,89,88,88,84,80,90,85,86,84,80,"NC","NORTH CAROLINA",4,13027,0,0,7,0,84,0.3059962,1,9035,"blockgroup",3.14,-80.9176795,35.1517056
39,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-96.7177186,%22y%22:33.0470962%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 39</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=33.0470962,-96.7177186"", target=""_blank"">EJScreen Map 39</a>",39,"site 39",-96.7177186,33.0470962,44,21,9,4,5,15,3,32,0.012,0.304,30,0.4,510,0.00058,0.03,0.22,0.4,46.7,9.98,3.1,58,34,16,8,7,12,5,46,0.15,0.214,31,0.36,510,0.33,0.084,0.92,0.72,40,9.57,2.2,35,34,40,50,36,71,42,33,32,83,83,95,74,40,37,31,57,86,72,73,25,30,34,33,34,23,33,33,23,33,34,23,52,36,15,6,7,13,5,44,0.16,0.219,32,0.37,470,0.5,0.08,0.83,0.8,41.1,9.32,2,44,29,39,60,38,65,41,37,26,80,78,85,76,42,40,37,55,81,76,76,31,32,37,37,37,25,36,35,25,37,37,23,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,60,38,50,67,47,55,41,53,14,63,83,81,69,44,27,41,41,83,83,68,51,47,53,52,52,34,53,50,41,53,53,35,"TX","TEXAS",6,16167,0,0,22,0,260,0.4819896,1,9035,"blockgroup",3.14,-96.7177186,33.0470962
40,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-117.8600748,%22y%22:33.717818%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 40</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=33.717818,-117.8600748"", target=""_blank"">EJScreen Map 40</a>",40,"site 40",-117.8600748,33.717818,94,43,47,17,7,7,4,69,0.53,0.393,30,0.4,1300,6.2e-05,0.069,4.1,19,44.8,12.2,15,63,31,17,9,6,14,6,47,0.29,0.33,31,0.43,1300,74,0.18,1.1,5.2,48.1,11.7,3.7,87,72,93,80,61,22,42,82,77,65,76,66,75,17,42,95,98,42,54,95,94,87,85,85,87,45,73,96,98,84,88,98,60,31,16,8,6,15,6,46,0.23,0.33,30,0.41,1300,59,0.15,1,4.4,49.6,10.8,3.3,88,72,94,82,61,22,43,83,81,63,75,69,77,17,49,95,98,33,63,96,95,87,87,87,88,47,77,96,98,85,90,98,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,92,73,97,90,64,16,51,88,79,77,83,81,86,28,53,98,99,73,94,93,97,94,93,94,95,72,88,98,99,95,96,98,"CA","CALIFORNIA",9,26468,0,9,18,0,282,0.4049479,1,9035,"blockgroup",3.14,-117.8600748,33.717818
